
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,Postgraduate (taught),Full-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),Full-time,Scotland,Total,2019/20,300
01 Medicine and dentistry,Postgraduate (taught),Full-time,Scotland,Female,2020/21,90
01 Medicine and dentistry,Postgraduate (taught),Full-time,Scotland,Male,2020/21,40
01 Medicine and dentistry,Postgraduate (taught),Full-time,Scotland,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (taught),Full-time,Scotland,Total,2020/21,130
01 Medicine and dentistry,Postgraduate (taught),Part-time,Scotland,Female,2019/20,95
01 Medicine and dentistry,Postgraduate (taught),Part-time,Scotland,Male,2019/20,60
01 Medicine and dentistry,Postgraduate (taught),Part-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),Part-time,Scotland,Total,2019/20,155
01 Medicine and dentistry,Postgraduate (taught),Part-time,Scotland,Female,2020/21,250
01 Medicine and dentistry,Postgraduate (taught),Part-time,Scotland,Male,2020/21,175
01 Medicine and dentistry,Postgraduate (taught),Part-time,Scotland,Other,2020/21,5
01 Medicine and dentistry,Postgraduate (taught),Part-time,Scotland,Total,2020/21,430
01 Medicine and dentistry,Postgraduate (taught),All,Wales,Female,2019/20,190
01 Medicine and dentistry,Postgraduate (taught),All,Wales,Male,2019/20,100
01 Medicine and dentistry,Postgraduate (taught),All,Wales,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),All,Wales,Total,2019/20,295
01 Medicine and dentistry,Postgraduate (taught),All,Wales,Female,2020/21,235
01 Medicine and dentistry,Postgraduate (taught),All,Wales,Male,2020/21,120
01 Medicine and dentistry,Postgraduate (taught),All,Wales,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (taught),All,Wales,Total,2020/21,355
01 Medicine and dentistry,Postgraduate (taught),Full-time,Wales,Female,2019/20,80
01 Medicine and dentistry,Postgraduate (taught),Full-time,Wales,Male,2019/20,45
01 Medicine and dentistry,Postgraduate (taught),Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),Full-time,Wales,Total,2019/20,125
01 Medicine and dentistry,Postgraduate (taught),Full-time,Wales,Female,2020/21,95
01 Medicine and dentistry,Postgraduate (taught),Full-time,Wales,Male,2020/21,45
01 Medicine and dentistry,Postgraduate (taught),Full-time,Wales,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (taught),Full-time,Wales,Total,2020/21,140
01 Medicine and dentistry,Postgraduate (taught),Part-time,Wales,Female,2019/20,110
01 Medicine and dentistry,Postgraduate (taught),Part-time,Wales,Male,2019/20,60
01 Medicine and dentistry,Postgraduate (taught),Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),Part-time,Wales,Total,2019/20,170
01 Medicine and dentistry,Postgraduate (taught),Part-time,Wales,Female,2020/21,145
01 Medicine and dentistry,Postgraduate (taught),Part-time,Wales,Male,2020/21,75
01 Medicine and dentistry,Postgraduate (taught),Part-time,Wales,Other,2020/21,0
